"yi","vi","slab","treatment","study_type","qualsyst","ni","category","class","order_no","treatment_diff","study","qualsyst_cat","study.id"
-1.13390507953439,0.0943882273106053,"Rahimi et al. 2015","botulinum-toxin","QES",0.625,28,"botox",NA,13,"botulinum-toxin",54,"medium",54
-0.426478384192714,0.174245158840984,"Trosch et al. 1994","botulinumtoxin","QES",0.5,12,"botox",NA,13,"botulinumtoxin",72,"low",72
-2.25271820384481,0.197276941433344,"Samotus et al. 2017","incobotulinumtoxin","QES",0.590909090909091,23,"botox",NA,13,"incobotulinumtoxin",57,"medium",57
-1.13814285513322,0.0551600954030292,"Samotus et al. 2020","incobotulinumtoxin","QES",0.5,48,"botox",NA,13,"incobotulinumtoxin",79,"low",79
-0.636288291036059,0.183535949554566,"Bara-Jimenez et al. 2003","adenosineA2a","QES",0.583333333333333,12,"adenosine_antagonist",NA,12,"adenosineA2a",78,"medium",78
-0.362828927930776,0.0430379669889937,"Altman et al. 2012","caffeine","QES",0.8,48,"adenosine_antagonist",NA,12,"caffeine",77,"high",77
0.0271986574938259,0.400036988348473,"Kulisevsky et al. 2002","theophylline","RCT",0.571428571428571,10,"adenosine_antagonist",NA,12,"theophylline",2,"medium",2
-1.32004151036702,0.287125479454602,"Ikeda et al. 2015","zonisamide","QES",0.75,10,"zonisamide",NA,11,"zonisamide",47,"high",47
-0.807402407046451,0.211449938495655,"Maeda et al. 2015","zonisamide","QES",1,11,"zonisamide",NA,11,"zonisamide",51,"high",51
-0.702001310437023,0.10960373789096,"Spieker et al. 1999","budipine","RCT",0.607142857142857,40,"budipine",NA,10,"budipine",13,"medium",13
0.167666763606175,0.133998291599224,"Malsch et al. 2001","budipine","RCT",0.916666666666667,26,"budipine",NA,10,"budipine",30,"high",30
-0.571708832220783,0.0801268701636898,"Malsch et al. 2001.1","budipine","RCT",0.909090909090909,27,"budipine",NA,10,"budipine",32,"high",32
-0.799947653525292,0.257773124910034,"Spieker et al. 1995","budipine","QES",0.428571428571429,9,"budipine",NA,10,"budipine",71,"low",71
-0.788732031096859,0.105047686747231,"Lotan et al. 2014","cannabis","QES",0.95,22,"cannabis",NA,9,"cannabis",50,"high",50
-0.293949896252547,0.0387008707218879,"Zhang et al. 2013","rasagiline","RCT",0.714285714285714,108,"mao_inhibitors",NA,8,"rasagiline",7,"high",7
-0.198623394357935,0.0104656473367833,"Elmer (2013)","rasagiline","RCT",1,380,"mao_inhibitors",NA,8,"rasagiline",16,"high",16
-0.174681850317815,0.0384054005236521,"Hattori et al. 2020","rasagiline","RCT",0.928571428571429,110,"mao_inhibitors",NA,8,"rasagiline",18,"high",18
-0.497223752226855,0.0145098849112829,"Jankovic et al. 2014","rasagiline","RCT",1,221,"mao_inhibitors",NA,8,"rasagiline",19,"high",19
-0.426638111539134,0.0105699408931309,"Lew (2013)","rasagiline","RCT",1,286,"mao_inhibitors",NA,8,"rasagiline",20,"high",20
-0.338007923596956,0.0297259193078235,"Lew (2013).1","rasagiline","RCT",1,138,"mao_inhibitors",NA,8,"rasagiline",21,"high",21
-0.688966296687865,0.00410520601648788,"Jost et al. 2008","rasagiline","QES",0.55,545,"mao_inhibitors",NA,8,"rasagiline",62,"medium",62
-0.140692700664523,0.00848065458151015,"Cattaneo et al. 2016","safinamide","RCT",1,482,"mao_inhibitors",NA,8,"safinamide",15,"high",15
-0.483611961684046,0.0585116680305844,"Su et al. 2004","selegiline","RCT",0.5,71,"mao_inhibitors",NA,8,"selegiline",6,"low",6
-0.244072242198633,0.276595209901978,"Rascol et al. 1988","selegiline","RCT",0.8,15,"mao_inhibitors",NA,8,"selegiline",12,"high",12
-0.0657482183212727,0.0290028635836106,"Mizuno et al. 2017","selegiline","RCT",0.892857142857143,139,"mao_inhibitors",NA,8,"selegiline",22,"high",22
-0.280576545676619,0.0474270139300445,"Brannan & Yahr (1995)","selegiline","QES",0.681818181818182,43,"mao_inhibitors",NA,8,"selegiline",36,"medium",36
-0.942680660910705,0.295819591102513,"Bonuccelli et al. 1997","clozapine","RCT",0.576923076923077,15,"clozapine",NA,7,"clozapine",1,"medium",1
-0.325746006774069,0.151204740670074,"Parkinson Study Group (1999)","clozapine","RCT",1,27,"clozapine",NA,7,"clozapine",17,"high",17
-0.462787382982188,0.11089926741704,"Friedman et al. 1997","clozapine","QES",0.321428571428571,19,"clozapine",NA,7,"clozapine",44,"low",44
-0.590861457356494,0.0945460274302052,"Jansen (1994)","clozapine","QES",1,23,"clozapine",NA,7,"clozapine",48,"high",48
-1.68742707455282,0.285308755497246,"Fischer et al. 1990","clozapine","QES",0.666666666666667,12,"clozapine",NA,7,"clozapine",61,"medium",61
-0.749757076422264,0.313499099916581,"Nigro et al. 2019","apomorphine","RCT",0.535714285714286,16,"dopamine_agonists",NA,6,"apomorphine",5,"medium",5
-1.76247300559992,0.355315554773421,"Ã‡inar et al. 2013","apomorphine","QES",0.545454545454545,10,"dopamine_agonists",NA,6,"apomorphine",40,"medium",40
-0.913584918412947,0.134295483420877,"Hellmann et al. 2008","apomorphine","QES",0.8,18,"dopamine_agonists",NA,6,"apomorphine",46,"high",46
-0.714217395476257,0.357803339090355,"Barbagallo et al. 2018","apomorphine","RCT",0.535714285714286,15,"dopamine_agonists",NA,6,"apomorphine",76,"medium",76
-0.826839187812309,0.234183152125106,"Binder et al. 2008","cabergoline","QES",0.95,10,"dopamine_agonists",NA,6,"cabergoline",35,"high",35
-0.570631064390807,0.0216280990582389,"Glass (2003)","dihydroergocriptin","QES",0.454545454545455,100,"dopamine_agonists",NA,6,"dihydroergocriptin",45,"low",45
-0.778572113898037,0.44906762033588,"Navan et al. 2003.1","pergolide","RCT",0.461538461538462,10,"dopamine_agonists",NA,6,"pergolide",9,"low",10
-0.850293281537379,0.448243448336872,"Navan et al. 2003.2","pergolide","RCT",0.964285714285714,10,"dopamine_agonists",NA,6,"pergolide",10,"high",10
-0.539134380007744,0.0670416543704115,"Arnold et al. 2005","pergolide","QES",0.8,32,"dopamine_agonists",NA,6,"pergolide",34,"high",34
-0.880628682815363,0.0291189443719337,"Mizuno et al. 1995","pergolide","QES",0.45,82,"dopamine_agonists",NA,6,"pergolide",52,"low",52
0.492871414972958,0.491697902294945,"Montastruc et al. 1999","piribedil","RCT",0.821428571428571,9,"dopamine_agonists",NA,6,"piribedil",4,"high",4
-0.232657734152825,0.0186438185677341,"Ziegler et al. 2003","piribedil","RCT",0.714285714285714,108,"dopamine_agonists",NA,6,"piribedil",29,"high",29
-1.0599238406247,0.0711588687211751,"Evidente et al. 2003","piribedil","QES",0.666666666666667,36,"dopamine_agonists",NA,6,"piribedil",42,"medium",42
-1.15572881071618,0.0889284847319907,"Mentenopoulos et al. 1989","piribedil","QES",0.833333333333333,30,"dopamine_agonists",NA,6,"piribedil",65,"high",65
-0.836144428821775,0.0261063194769427,"Rondot & Ziegler (1992)","piribedil","QES",0.888888888888889,90,"dopamine_agonists",NA,6,"piribedil",70,"high",70
-0.731626375219053,0.0251959841828676,"Ziegler M.  & Rondot P. (1999)","piribedil","QES",0.666666666666667,90,"dopamine_agonists",NA,6,"piribedil",75,"medium",75
-0.413813937561113,0.0234485884646098,"Moeller et al. 2005","pramipexole","RCT",0.961538461538462,174,"dopamine_agonists",NA,6,"pramipexole",3,"high",3
-0.552365351076309,0.429647010275522,"Navan et al. 2003","pramipexole","RCT",0.461538461538462,10,"dopamine_agonists",NA,6,"pramipexole",8,"low",11
-0.605373563784636,0.427377630380527,"Navan et al. 2003.2","pramipexole","RCT",0.964285714285714,10,"dopamine_agonists",NA,6,"pramipexole",11,"high",11
-0.719581874697245,0.113757220803128,"Pogarell et al. 2002","pramipexole","RCT",0.964285714285714,44,"dopamine_agonists",NA,6,"pramipexole",25,"high",25
-0.992244715512262,0.0254313753850102,"Levin et al. 2010","pramipexole","QES",0.636363636363636,98,"dopamine_agonists",NA,6,"pramipexole",49,"medium",49
-0.577397751002654,0.0515879543197967,"Takahashi et al. 2008","pramipexole","QES",0.428571428571429,42,"dopamine_agonists",NA,6,"pramipexole",58,"low",58
-0.954898002019009,0.0039169299794736,"Reichmann et al. 2002","pramipexole","QES",0.5,627,"dopamine_agonists",NA,6,"pramipexole",68,"low",68
-0.127342412717343,0.0975358726119589,"Brooks et al. 1998","ropinirole","RCT",0.642857142857143,34,"dopamine_agonists",NA,6,"ropinirole",14,"medium",14
-0.0768275113194146,0.0355320790247173,"Schrag et al. 2002","ropinirole","RCT",0.944444444444444,109,"dopamine_agonists",NA,6,"ropinirole",26,"high",26
0.0265058038706373,0.0192823287973875,"Schrag et al. 2002.1","ropinirole","RCT",0.944444444444444,161,"dopamine_agonists",NA,6,"ropinirole",27,"high",27
-0.168813594820378,0.0374295323675368,"Schrag et al. 2002.2","ropinirole","RCT",0.944444444444444,162,"dopamine_agonists",NA,6,"ropinirole",28,"high",28
-0.543784521236766,0.0238382230044158,"Nomoto et al. 2018","rotigotine","RCT",0.909090909090909,87,"dopamine_agonists",NA,6,"rotigotine",23,"high",23
-0.355020825905442,0.00812603978682658,"Nomoto et al. 2018.1","rotigotine","RCT",0.909090909090909,250,"dopamine_agonists",NA,6,"rotigotine",24,"high",24
-0.678451411494421,0.00346834861412035,"Reichmann et al. 2003","rotigotine","QES",0.772727272727273,643,"dopamine_agonists",NA,6,"rotigotine",69,"high",69
-0.401710311555409,0.0800263687386528,"Malsch et al. 2001","amantadine","RCT",0.909090909090909,26,"amantadine",NA,5,"amantadine",31,"high",31
-0.529152376744959,0.0690322941583039,"Mueller et al. 2003.1","amantadine","QES",0.392857142857143,31,"amantadine",NA,5,"amantadine",53,"low",53
-0.66500555823638,0.0584504262169116,"Friedman et al. 1997","benztropin","QES",0.321428571428571,38,"anticholinergics",NA,4,"benztropin",43,"low",44
-0.695935005870083,0.112108138309885,"Sahoo et al. 2020","trihexphenidyl","QES",0.392857142857143,20,"anticholinergics",NA,4,"trihexphenidyl",55,"low",55
-0.288992615450437,0.204175836589244,"Koller et al. 1987","primidone","QES",0.461538461538462,10,"primidone",NA,3,"primidone",63,"low",63
-0.959910352924253,0.123035697141279,"Yoshii et al. 1996","nipradilol","QES",0.65,20,"betablocker",NA,2,"nipradilol",73,"medium",73
-0.933668449916808,0.243586838718503,"Koller et al. 1987.1","propanolol","QES",0.461538461538462,10,"betablocker",NA,2,"propanolol",64,"low",63
-0.509594394771318,0.152131658827941,"Bullock et al. 2021","zuranolone","QES",0.85,14,"betablocker",NA,2,"zuranolone",38,"high",38
-0.297830526476151,0.0454300335833451,"Anderson et al. 1992","levodopa","QES",0.545454545454545,45,"levodopa",NA,1,"levodopa",33,"medium",33
-0.326703467376983,0.0526504507127711,"Brannan & Yahr (1995)","levodopa","QES",0.681818181818182,39,"levodopa",NA,1,"levodopa",37,"medium",36
-0.787959616234964,0.0679541228943699,"Choi et al. 2000","levodopa","QES",0.772727272727273,34,"levodopa",NA,1,"levodopa",39,"high",39
-0.752358001740279,0.0671476847468033,"Dirkx et al. 2019","levodopa","QES",0.571428571428571,34,"levodopa",NA,1,"levodopa",41,"medium",41
-1.29587897644774,0.141982558039981,"Sahoo et al. 2020","levodopa","QES",0.392857142857143,20,"levodopa",NA,1,"levodopa",56,"low",55
-1.58932169677878,0.155379606091709,"Wilken et al. 2019","levodopa","QES",0.727272727272727,21,"levodopa",NA,1,"levodopa",59,"high",59
-1.24911939233096,0.0365809161598505,"Zach et al. 2020","levodopa","QES",0.714285714285714,76,"levodopa",NA,1,"levodopa",60,"high",41
-0.476061414050207,0.0062524178549519,"Mueller et al. 2003","levodopa","QES",0.291666666666667,338,"levodopa",NA,1,"levodopa",66,"low",66
-0.541861153969572,0.214680675509062,"Pollok et al. 2009","levodopa","QES",0.590909090909091,10,"levodopa",NA,1,"levodopa",67,"medium",67
-0.742886639234882,0.0329846417300993,"Zach et al. 2017","levodopa","QES",0.571428571428571,69,"levodopa",NA,1,"levodopa",74,"medium",74
